filename,slug,aesthetic_category,order,width,height,description,dominant_token,dominant_css3_name,palette_tokens,palette_css3_names,source
abstract-geometric__jamverse-jam.png,jamverse-jam,abstract-geometric,,1200,1200,A soft grey-and-brown cloudy blob floats on a black background with tangled bright green and magenta line scribbles overlaid on the right. The composition is non-representational and minimal.,#0d0b0c,black,#0d0b0c #575854 #9ba59b #96685b #4c3632 #87f586,black; dimgray; darkgray; dimgray; darkslategray; lightgreen,https://protocolized.summerofprotocols.com/p/jamverse-jam
abstract-geometric__jamverse-jam__00.png,jamverse-jam,abstract-geometric,00,1200,1200,"Generative abstract blob in muted browns and purples on a lime-green field, with magenta looping filament arcs.",#80fe80,lightgreen,#80fe80 #706f74 #6c7d86 #6b8087 #cd73e3 #877372,lightgreen; dimgray; slategray; slategray; orchid; gray,https://protocolized.summerofprotocols.com/p/jamverse-jam
abstract-geometric__jamverse-jam__07.png,jamverse-jam,abstract-geometric,07,1200,1200,"Generative abstract green-and-red glowing cloud form on dark gray, overlaid with tangled orange scribble lines.",#373737,darkslategray,#373737 #0f7419 #582557 #01850b #ae290b #186c50,darkslategray; forestgreen; indigo; green; firebrick; darkslategray,https://protocolized.summerofprotocols.com/p/jamverse-jam
abstract-geometric__sop-fall-forecast__00.jpeg,sop-fall-forecast,abstract-geometric,00,1000,714,Abstract painterly network of glowing white and gold light trails arcing across a deep purple field suggesting a luminous nighttime cityscape or data-flow map.,#635f8e,slategray,#635f8e #56556d #352f54 #232133 #90989c #43396e,slategray; dimgray; darkslategray; darkslategray; lightslategray; darkslateblue,https://protocolized.summerofprotocols.com/p/sop-fall-forecast
abstract-geometric__the-overloaded-train__00.png,the-overloaded-train,abstract-geometric,00,1024,1024,Abstract macro of glowing magenta and violet fluid spreading across a speckled grainy surface; luminous generative texture.,#f0e2f4,lavender,#f0e2f4 #221215 #dfa1f0 #f065fc #e620f8 #9e6867,lavender; black; plum; violet; fuchsia; gray,https://protocolized.summerofprotocols.com/p/the-overloaded-train
figure-portrait__dhcp.png,dhcp,figure-portrait,,2048,2048,"A hooded figure in an orange jacket stands amid a crowd of magenta-clad figures on a rainy futuristic city street, with domes and screens behind. Moody cyberpunk illustration in orange and purple.",#2c252f,darkslategray,#2c252f #623549 #995d4f #d56f2e #953967 #714748,darkslategray; darkslategray; sienna; chocolate; sienna; dimgray,https://protocolized.summerofprotocols.com/p/dhcp
figure-portrait__in-every-lifetime.png,in-every-lifetime,figure-portrait,,1000,1000,"A detailed illustration of a white cat crouched at the edge of a blue pool reflecting koi fish and plants, set against a starry night sky with floating bubbles, one containing a small face. Vivid, surreal naturalistic style.",#9ab189,darkseagreen,#9ab189 #202113 #678b70 #595a2e #5c6e54 #959a64,darkseagreen; black; gray; darkolivegreen; dimgray; gray,https://protocolized.summerofprotocols.com/p/in-every-lifetime
figure-portrait__in-the-garden-of-eden-baby__00.jpeg,in-the-garden-of-eden-baby,figure-portrait,00,1000,714,A detailed painted close-up of a golden macaw's head with a green eye against a purple background.,#5b265a,darkslateblue,#5b265a #dba329 #e0e5d1 #2c2829 #9b6a27 #a3a79d,darkslateblue; goldenrod; gainsboro; darkslategray; sienna; darkgray,https://protocolized.summerofprotocols.com/p/in-the-garden-of-eden-baby
figure-portrait__loyalty.png,loyalty,figure-portrait,,1000,1000,A stylized 3D-rendered scene of a small white cartoon ghost sitting in falling blue rain beside a glowing pink graffiti-like trail on dark ground. Moody and whimsical.,#141d30,black,#141d30 #1d304f #335d8f #294870 #993195 #5b3364,black; darkslategray; darkslateblue; darkslategray; darkmagenta; darkslateblue,https://protocolized.summerofprotocols.com/p/loyalty
figure-portrait__necrophoresis__06.gif,necrophoresis,figure-portrait,06,600,400,"High-contrast pop-art style rendering of a green-toned hand resting on another hand, against a vivid purple and red color-blocked background.",#4e15fc,blueviolet,#4e15fc #0d1f60 #e42b29 #3813f1 #03abf7 #05aa9a,blueviolet; midnightblue; crimson; blue; deepskyblue; lightseagreen,https://protocolized.summerofprotocols.com/p/necrophoresis
figure-portrait__the-air-gap__00.png,the-air-gap,figure-portrait,00,2048,2048,"Painted illustration of an outstretched arm in a red sleeve wearing a bulky glowing wrist device with a yellow ring display, against a pale beige background.",#e7e0c7,gainsboro,#e7e0c7 #dbd1b3 #1e1917 #5f2c25 #b7ad8c #9b6137,gainsboro; wheat; black; saddlebrown; tan; sienna,https://protocolized.summerofprotocols.com/p/the-air-gap
figure-portrait__the-last-archive__22.png,the-last-archive,figure-portrait,22,1280,1280,"Minimal pastel illustration of a green figure stepping through a glowing doorway with a second seated silhouette, titled Leaving.",#909f6d,gray,#909f6d #ecdd99 #6b9265 #c6ab79 #d4af87 #a9b484,gray; khaki; gray; darkkhaki; tan; darkseagreen,https://protocolized.summerofprotocols.com/p/the-last-archive
painterly-illustration__a-chronicle-of-lumina.png,a-chronicle-of-lumina,painterly-illustration,,2048,2048,"A painterly retro-futurist scene of two robed figures flanking a giant glowing flask filled with green liquid, surrounded by suspended ornaments and a red orb above a checkered platform. The mood is sci-fi, ritualistic, and dreamlike.",#5d585d,dimgray,#5d585d #302d2e #a49175 #8c7368 #a79a86 #c8b28b,dimgray; darkslategray; rosybrown; gray; rosybrown; tan,https://protocolized.summerofprotocols.com/p/a-chronicle-of-lumina
painterly-illustration__all-you-can-do-here-is-leave.png,all-you-can-do-here-is-leave,painterly-illustration,,1024,1024,"An abstracted horizontal landscape of pale reeds or grasses above a dark stratified field of soil with blue and yellow streaks. Muted, melancholic digital painting.",#090909,black,#090909 #453525 #a3b0b3 #969961 #555934 #6c6e4d,black; darkslategray; darkgray; gray; darkolivegreen; dimgray,https://protocolized.summerofprotocols.com/p/all-you-can-do-here-is-leave
painterly-illustration__american-skyway.png,american-skyway,painterly-illustration,,1024,1024,"A tall, glitchy spire of fractured imagery rises against a red-and-black gradient sky over a low landscape of mounds and faint structures. The distressed, layered montage style gives a degraded, dreamlike mood.",#26261d,black,#26261d #5c5f16 #592e2c #a02830 #5c5c57 #9e4d54,black; darkolivegreen; saddlebrown; brown; dimgray; sienna,https://protocolized.summerofprotocols.com/p/american-skyway
painterly-illustration__archive.png,archive,painterly-illustration,,2048,2048,"A stylized illustration of towering green tree trunks with glowing circular markings, lining a red-paved path on which small figures walk through a dark forest. The palette is limited to greens, blues, and orange-red with a flat, graphic comic aesthetic.",#9fa34d,darkkhaki,#9fa34d #566653 #1e2a4d #1c1f36 #344c5d #d9ce60,darkkhaki; dimgray; midnightblue; darkslategray; darkslategray; darkkhaki,https://protocolized.summerofprotocols.com/p/archive
painterly-illustration__archives-of-discontinuity.png,archives-of-discontinuity,painterly-illustration,,2048,2048,"A digital illustration of large flying-saucer forms drifting beside a towering tree and a curving tiled wall, with a glowing red ribbon of light arcing across a dark sky. The mood is ominous and surreal.",#241c11,black,#241c11 #716550 #684c31 #58341e #924d2c #8a7158,black; dimgray; darkolivegreen; saddlebrown; sienna; dimgray,https://protocolized.summerofprotocols.com/p/archives-of-discontinuity
painterly-illustration__chore-protocols.png,chore-protocols,painterly-illustration,,2048,2048,"A stylized painted interior showing an upright vacuum cleaner, a potted monstera plant, bookshelves, and framed art lit by warm slatted light. The composition is domestic and quiet with saturated teal and orange tones.",#242820,darkslategray,#242820 #5a3017 #64502a #a36516 #a6a187 #ac9a6c,darkslategray; saddlebrown; darkolivegreen; sienna; rosybrown; darkkhaki,https://protocolized.summerofprotocols.com/p/chore-protocols
painterly-illustration__circadia__00.png,circadia,painterly-illustration,00,1000,714,"A digital painting of a hand resting on undulating bedsheets beneath a glowing green oval device emitting wave-like patterns, in muted dark tones.",#2b2d2a,darkslategray,#2b2d2a #a2ae90 #4d6e5d #39574f #6b8a6f #929e74,darkslategray; darkseagreen; dimgray; darkslategray; gray; gray,https://protocolized.summerofprotocols.com/p/circadia
painterly-illustration__das-protokoll__00.png,das-protokoll,painterly-illustration,00,1000,714,Stylized retro illustration of laboratory or industrial machines with a glowing yellow circular dial on a teal background.,#2a908f,darkcyan,#2a908f #eae6b8 #59655e #5d988f #99b29f #e6a218,darkcyan; wheat; dimgray; cadetblue; darkgray; goldenrod,https://protocolized.summerofprotocols.com/p/das-protokoll
painterly-illustration__dhcp__00.png,dhcp,painterly-illustration,00,2048,2048,Moody sci-fi concept art of a silhouetted figure facing a vast rain-streaked cyberpunk cityscape with glowing windows and curving roadways.,#1e181f,black,#1e181f #595b4c #958d5e #3c4442 #4b483c #4c3336,black; darkolivegreen; gray; darkslategray; darkslategray; darkslategray,https://protocolized.summerofprotocols.com/p/dhcp
painterly-illustration__dirt-simple.png,dirt-simple,painterly-illustration,,2048,2048,"Two figures in detailed protective suits with glowing visors dig into glowing earth with shovels in a vivid pink-and-orange rocky desert landscape at night. The richly colored, intricate illustration has a science-fiction narrative mood.",#151a2c,black,#151a2c #f3d0ab #9a6368 #665860 #9b638b #d4ad93,black; wheat; gray; dimgray; gray; tan,https://protocolized.summerofprotocols.com/p/dirt-simple
painterly-illustration__fault-tolerance.png,fault-tolerance,painterly-illustration,,2048,2048,"A moody digital painting of a cluttered subterranean control room with a circular porthole, multiple monitors, schematics, and an office chair, lit in teal and amber. The mood is industrial and abandoned.",#111e1e,black,#111e1e #225b58 #536757 #5d4e33 #4f9c90 #e2a220,black; darkslategray; dimgray; darkolivegreen; cadetblue; goldenrod,https://protocolized.summerofprotocols.com/p/fault-tolerance
painterly-illustration__genius-in-the-bottle__00.jpeg,genius-in-the-bottle,painterly-illustration,00,1000,714,"Surreal airbrushed painting of glowing lime-green dome shapes against a starry purple sky, one pair sprouting cartoonish eyes.",#272456,midnightblue,#272456 #a1ad5b #cdd29c #60616d #bac272 #1b1a3b,midnightblue; darkkhaki; tan; dimgray; darkkhaki; midnightblue,https://protocolized.summerofprotocols.com/p/genius-in-the-bottle
painterly-illustration__ghosts-in-machines-d0a.png,ghosts-in-machines-d0a,painterly-illustration,,2048,2048,"Stylized interior scene with a yellow ghost-like figure beside a desk holding an old computer and keyboard, a second ghost face glowing on a monitor. Warm orange tones against a dark, rain-streaked background with floating orbs, melancholic mood.",#2d2922,darkslategray,#2d2922 #e39750 #574e37 #54604d #d96f36 #a15835,darkslategray; sandybrown; darkolivegreen; darkolivegreen; chocolate; sienna,https://protocolized.summerofprotocols.com/p/ghosts-in-machines-d0a
